date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:35	1959/1959	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:35%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=12:contexto&catid=2&Itemid=113&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index5d72.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=12:contexto&catid=2&Itemid=113)
12:51:35	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:35%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=6404f96f37618b967c3f051948ed642d22fb9b48	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index398e.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=12:contexto&catid=2&Itemid=113)
12:51:35	19409/19409	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:35%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11%3Anelly-sub-directora-tecnica&catid=2&Itemid=113	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexb51e.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113)
12:51:35	19402/19402	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:35%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=212	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/indexbf41.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113)
12:51:36	2027/2027	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:36%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index3ed1.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113)
12:51:36	3469/3469	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:36%20GMT	https://sbustos.rtacchi.com/index.php?option=com_mailto&tmpl=component&template=protostar&link=d33fb9bf1be5d4810e295769c0c0ec6a40bad74c	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index661d.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113)
12:51:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jan%202023%2015:51:36%20GMT	https://sbustos.rtacchi.com/%22images/image003.jpg/%22	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/_images/image003.jpg/_	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=11:nelly-sub-directora-tecnica&catid=2&Itemid=113)
12:51:37	19691/19691	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:36%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9%3Avision&catid=2&Itemid=113	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index403b.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=113)
12:51:37	19684/19684	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:37%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=212	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index0ec3.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=113)
12:51:37	2353/2353	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202023%2015:51:37%20GMT	https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=113&tmpl=component&print=1&layout=default&page=	C:/Users/ti/Documents/copia%20de%20sbustos/copia%20de%20sbustos/sbustos.rtacchi.com/index5bd0.html	(from https://sbustos.rtacchi.com/index.php?option=com_content&view=article&id=9:vision&catid=2&Itemid=113)
